89%,93%,94%,93%,93%,94%,94%,94%,95%,95%,95%,95%,95%,95%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,95%,95%,95%,95%,95%
90%,94%,96%,97%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,99%,98%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%
53%,61%,58%,59%,59%,59%,58%,59%,59%,59%,60%,60%,60%,61%,61%,61%,61%,61%,61%,61%,61%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,59%,59%,59%,59%,59%
82%,81%,84%,84%,85%,85%,85%,85%,85%,85%,86%,86%,86%,86%,86%,85%,85%,86%,85%,85%,85%,86%,86%,86%,86%,86%,86%,86%,86%,86%,85%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%
91%,95%,97%,98%,98%,98%,98%,98%,98%,98%,99%,98%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%
66%,71%,73%,71%,69%,70%,70%,70%,71%,72%,72%,72%,72%,71%,72%,72%,71%,71%,71%,71%,71%,70%,71%,70%,70%,70%,70%,70%,70%,70%,70%,70%,70%,70%,70%,70%,70%,70%,71%,71%,72%,72%,72%,73%,73%,74%,74%,74%,75%,75%
76%,78%,78%,77%,77%,77%,77%,76%,77%,77%,78%,78%,77%,78%,78%,78%,78%,78%,78%,78%,78%,78%,78%,78%,78%,77%,78%,78%,77%,78%,78%,78%,77%,77%,78%,78%,78%,78%,77%,77%,77%,77%,77%,77%,78%,78%,77%,78%,78%,78%
90%,94%,96%,96%,96%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%
85%,82%,85%,86%,85%,85%,86%,85%,85%,85%,85%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%
59%,66%,69%,68%,69%,69%,69%,69%,69%,69%,69%,70%,70%,70%,70%,70%,70%,69%,70%,69%,69%,69%,69%,69%,69%,69%,69%,69%,70%,69%,70%,70%,69%,69%,70%,69%,70%,69%,69%,69%,69%,69%,69%,69%,70%,70%,70%,69%,69%,69%
70%,71%,72%,72%,73%,73%,72%,72%,72%,72%,71%,71%,72%,72%,72%,72%,72%,72%,72%,72%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%
90%,94%,94%,94%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,96%,96%,96%,95%,96%,96%,96%,96%,96%,95%,96%,95%,96%,96%,95%,95%,95%,95%,95%
86%,92%,93%,94%,94%,94%,94%,94%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,96%,96%,96%,96%,96%,95%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%
91%,94%,96%,96%,97%,97%,98%,98%,98%,98%,99%,98%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%
65%,68%,71%,70%,69%,69%,70%,70%,70%,69%,70%,70%,70%,70%,71%,71%,71%,71%,71%,70%,70%,70%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,70%,70%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%
87%,89%,92%,94%,94%,94%,94%,95%,95%,95%,95%,94%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%
88%,90%,89%,89%,89%,88%,87%,88%,87%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%
87%,92%,93%,94%,95%,95%,96%,96%,96%,96%,96%,96%,96%,96%,97%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%
92%,95%,97%,98%,98%,98%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,100%,99%,100%,99%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
