78%,79%,80%,81%,82%,83%,83%,83%,84%,85%,85%,86%,86%,87%,87%,87%,88%,88%,88%,89%,89%,89%,89%,90%,90%,90%,90%,90%,90%,90%,90%,90%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%
51%,54%,57%,56%,59%,61%,62%,63%,63%,63%,64%,65%,65%,65%,66%,66%,67%,68%,67%,68%,68%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,70%,70%,70%,70%,70%,70%,70%,70%,70%,70%,70%,71%,71%,71%,71%
54%,57%,58%,60%,61%,62%,62%,63%,63%,64%,65%,65%,65%,66%,66%,66%,67%,67%,66%,67%,67%,68%,68%,68%,69%,69%,69%,70%,70%,70%,70%,70%,70%,70%,70%,70%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%
68%,67%,70%,72%,74%,75%,78%,79%,79%,80%,80%,81%,81%,82%,82%,82%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,85%,85%,85%,85%,85%,85%,85%
73%,76%,77%,79%,81%,82%,84%,85%,86%,86%,87%,87%,88%,89%,89%,89%,90%,90%,90%,91%,91%,91%,91%,92%,92%,92%,92%,92%,92%,92%,93%,93%,93%,93%,93%,93%,93%,93%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%
64%,65%,67%,71%,73%,76%,78%,78%,79%,81%,81%,81%,81%,81%,81%,82%,82%,82%,82%,82%,83%,83%,84%,84%,84%,84%,84%,84%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%
75%,81%,83%,84%,85%,86%,87%,87%,88%,88%,88%,88%,89%,89%,89%,90%,90%,90%,90%,90%,91%,90%,90%,91%,91%,91%,91%,91%,91%,91%,91%,91%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,93%,93%,93%,93%,93%
74%,78%,80%,82%,84%,85%,85%,86%,86%,87%,87%,87%,87%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,90%,90%,90%,90%,90%,90%
23%,30%,30%,32%,35%,36%,38%,37%,38%,38%,37%,37%,37%,37%,37%,37%,37%,38%,38%,37%,38%,39%,39%,39%,39%,40%,40%,40%,41%,41%,41%,41%,41%,41%,41%,41%,41%,41%,42%,42%,42%,42%,43%,43%,43%,43%,43%,43%,43%,43%
63%,66%,65%,67%,69%,72%,75%,76%,77%,77%,78%,78%,79%,80%,80%,80%,80%,80%,80%,81%,81%,81%,81%,81%,82%,82%,82%,82%,83%,83%,83%,83%,83%,83%,83%,83%,83%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%
