74%,81%,83%,84%,84%,85%,85%,86%,87%,86%,86%,86%,86%,86%,86%,87%,87%,87%,87%,87%,86%,86%,86%,86%,86%,86%,86%,86%,87%,87%,87%,87%,87%,87%,86%,87%,87%,87%,87%,86%,86%,86%,86%,86%,86%,87%,87%,87%,87%,87%
88%,93%,95%,96%,97%,96%,96%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%
92%,95%,97%,97%,97%,97%,97%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%
66%,71%,74%,75%,74%,74%,74%,74%,73%,74%,74%,75%,75%,75%,75%,75%,75%,75%,75%,76%,76%,75%,76%,76%,76%,76%,76%,76%,76%,76%,76%,76%,76%,76%,76%,76%,76%,76%,76%,76%,76%,76%,76%,76%,76%,76%,76%,76%,76%,76%
77%,84%,87%,86%,87%,88%,89%,90%,90%,90%,90%,90%,91%,91%,91%,91%,91%,91%,91%,91%,91%,92%,91%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%
85%,90%,93%,94%,95%,95%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,98%,98%,98%,98%
84%,89%,89%,89%,89%,89%,89%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%
91%,95%,97%,98%,98%,98%,98%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,100%,100%
88%,93%,94%,94%,95%,95%,95%,95%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%
89%,94%,96%,96%,97%,97%,97%,97%,97%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%
88%,90%,90%,91%,92%,93%,93%,94%,94%,94%,95%,95%,95%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%
89%,91%,92%,93%,94%,94%,94%,94%,94%,94%,95%,95%,95%,95%,95%,95%,95%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%
83%,90%,90%,90%,89%,90%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%
86%,87%,89%,91%,91%,92%,92%,92%,93%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,92%,92%,92%,92%,93%,92%,92%,92%,92%,92%,92%,92%,92%,92%
81%,81%,81%,81%,81%,81%,81%,81%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,83%,83%,83%,83%,83%,83%,82%,83%,83%,83%
